R_C (in kOhm),Eingangsamplitude pk-pk (in mV),Ausgangsamplitude pk-pk (in V)
0.99,23.2,0.432
2.01,23.2,0.816
3,23.2,1.14
3.99,23.2,1.4
4.5,23.2,1.52
5,23.2,1.62
6.05,23.2,1.84
7,23.2,2
8.03,23.2,2.18
8.99,23.2,2.32
9.99,23.2,2.44
