Strom (in Amp),Abstand (in cm),Grundfeldstärke (in mT),Feldstärke (in mT)
1,6.2,0.252,0.521
1,6.5,0.254,0.489
1,7,0.261,0.448
1,7.5,0.27,0.42
1,8,0.277,0.4
1,8.5,0.279,0.379
1,9,0.275,0.359
1,9.5,0.269,0.338
1,10,0.262,0.321
1,11,0.249,0.291
1,12,0.239,0.271
1,13,0.233,0.258
1,14,0.23,0.25
1,15,0.23,0.244
1,17,0.232,0.241
1,20,0.243,0.249
1,25,0.244,0.247
1,30,0.237,0.239
